nom_enseigne,longitude,latitude,territoryLabel
COURSESU.COM,7.1489624,47.7404906,EST
COURSESU.COM,-1.1400665,45.7546525,SUD
COURSESU.COM,-2.2855614,48.598476,OUEST
COURSESU.COM,1.590998,43.802377,SUD
COURSESU.COM,6.852747,45.913036,SUD
COURSESU.COM,-2.406618,47.801247,OUEST
COURSESU.COM,-0.335249,49.1883354,NORD
COURSESU.COM,4.8753458,44.0084652,SUD
COURSESU.COM,4.85072,43.95816,SUD
COURSESU.COM,4.090405,44.140962,SUD
COURSESU.COM,5.059263,45.85188,SUD
COURSESU.COM,6.31468,46.17127,SUD
COURSESU.COM,1.532267,43.650321,SUD
COURSESU.COM,6.024044,47.326403,EST
COURSESU.COM,-0.9882774,47.1141368,OUEST
COURSESU.COM,2.758673,44.527697,SUD
COURSESU.COM,0.690976,44.393374,SUD
COURSESU.COM,7.7285238,48.4816992,EST
COURSESU.COM,6.927291,45.984769,SUD
COURSESU.COM,-1.3059217,45.938291,SUD
COURSESU.COM,1.929395,47.832699,OUEST
COURSESU.COM,7.64873,48.90234,EST
COURSESU.COM,0.27391,45.49374,SUD
COURSESU.COM,-1.85825,46.62634,OUEST
COURSESU.COM,-0.3950232,47.4580274,OUEST
COURSESU.COM,-2.09373,47.11242,OUEST
COURSESU.COM,-1.134709,46.230788,SUD
COURSESU.COM,-0.725197,47.834235,OUEST
COURSESU.COM,3.86399,43.5833,SUD
COURSESU.COM,-1.456826,43.393292,SUD
COURSESU.COM,1.501746,47.695817,OUEST
COURSESU.COM,-0.8835017,47.0609622,OUEST
COURSESU.COM,2.5867772,44.3693854,SUD
COURSESU.COM,1.3328621,43.9896179,SUD
COURSESU.COM,0.586555,43.069723,SUD
COURSESU.COM,1.1830433,45.6653947,SUD
COURSESU.COM,-1.81203,49.51215,NORD
COURSESU.COM,3.322715,43.72576,SUD
COURSESU.COM,7.475673,48.415699,EST
COURSESU.COM,4.1093,45.1457,SUD
COURSESU.COM,1.541955,47.283325,OUEST
COURSESU.COM,-1.064245,44.97688,SUD
COURSESU.COM,6.52629,45.46655,SUD
COURSESU.COM,5.18185,47.347053,EST
COURSESU.COM,5.0714455,44.0597996,SUD
COURSESU.COM,1.030901,45.934562,SUD
COURSESU.COM,-3.231607,48.779295,OUEST
COURSESU.COM,2.2656604,47.0064134,OUEST
COURSESU.COM,6.1968201,49.1259956,EST
COURSESU.COM,6.120331,46.004939,SUD
COURSESU.COM,-0.871949,47.696121,OUEST
MONOPRIX DRIVE,2.8866468,49.2338546,NORD
MONOPRIX DRIVE,4.8299097,45.7761991,SUD
MONOPRIX DRIVE,2.45914,48.849167,ILE-DE-FRANCE
CARREFOUR DRIVE,2.4652358,50.5685169,NORD
CARREFOUR DRIVE,2.5323377,49.5524919,NORD
CARREFOUR DRIVE,1.9869994,46.5786419,OUEST
CARREFOUR DRIVE,2.7498248,47.6247183,OUEST
CARREFOUR DRIVE,2.070186,50.87098,NORD
CARREFOUR DRIVE,0.186668,48.014173,OUEST
CARREFOUR DRIVE,1.237325,48.576577,OUEST
CARREFOUR DRIVE,3.0917462,50.6933069,NORD
CARREFOUR DRIVE,1.1069795,49.4767618,NORD
CARREFOUR DRIVE,-0.8730929,46.2281255,SUD
CARREFOUR DRIVE,0.3970045,46.556138,SUD
CARREFOUR DRIVE,2.320898,47.061693,OUEST
CARREFOUR DRIVE,1.47188,49.09001,NORD
