Rang,Departement,Commune,Score,Habitants,territoryLabel
67,SEINE-SAINT-DENIS,AUBERVILLIERS,112.81248801261557,82934,ILE-DE-FRANCE
68,SEINE-SAINT-DENIS,EPINAY-SUR-SEINE,112.63789284303995,51667,ILE-DE-FRANCE
69,VAL-D'OISE,BEZONS,111.52403180385791,31151,ILE-DE-FRANCE
70,VAL-DE-MARNE,CACHAN,111.36103087317856,27873,ILE-DE-FRANCE
71,BOUCHES-DU-RHONE,MARSEILLE--2E--ARRONDISSEMENT,110.92514345878384,23818,SUD
72,SEINE-SAINT-DENIS,PANTIN,110.88385939280268,56507,ILE-DE-FRANCE
73,ESSONNE,MASSY,109.40804378181352,49247,ILE-DE-FRANCE
74,RHONE,LYON--5E--ARRONDISSEMENT,108.94258019979868,42131,EST
75,NORD,LILLE,108.78404078553888,194137,NORD
76,BOUCHES-DU-RHONE,MARSEILLE--7E--ARRONDISSEMENT,108.45281794818052,33764,SUD
77,SEINE-SAINT-DENIS,SAINT-DENIS,108.20307961047713,113049,ILE-DE-FRANCE
78,VAL-D'OISE,ENGHIEN-LES-BAINS,108.19514739238114,10855,ILE-DE-FRANCE
79,BOUCHES-DU-RHONE,MARSEILLE-10E--ARRONDISSEMENT,107.47070214338123,53405,SUD
80,MEURTHE-ET-MOSELLE,NANCY,107.18471033103887,82982,EST
81,SEINE-SAINT-DENIS,LES PAVILLONS-SOUS-BOIS,106.92851729444939,21927,ILE-DE-FRANCE
82,PARIS,PARIS-7E-ARRONDISSEMENT,106.70226516011056,48254,ILE-DE-FRANCE
83,SEINE-SAINT-DENIS,LE BOURGET,106.68584961485156,15663,ILE-DE-FRANCE
84,BAS-RHIN,SCHILTIGHEIM,105.305890969794,29525,EST
85,SEINE-SAINT-DENIS,DRANCY,105.08537375961571,71216,ILE-DE-FRANCE
86,SEINE-SAINT-DENIS,BONDY,104.16450385890766,53407,ILE-DE-FRANCE
87,SEINE-SAINT-DENIS,ROSNY-SOUS-BOIS,103.22100528215243,44958,ILE-DE-FRANCE
88,YVELINES,VERSAILLES,102.89074661161017,84790,ILE-DE-FRANCE
89,BAS-RHIN,BISCHHEIM,102.33910835921084,16855,EST
90,HAUTS-DE-SEINE,CHAVILLE,102.30472162531028,20505,ILE-DE-FRANCE
91,HAUTS-DE-SEINE,MEUDON,101.97281157073951,44761,ILE-DE-FRANCE
92,VAL-DE-MARNE,CHOISY-LE-ROI,101.89362536814981,42740,ILE-DE-FRANCE
93,YVELINES,VIROFLAY,101.45409587496893,16523,ILE-DE-FRANCE
94,YVELINES,VELIZY-VILLACOUBLAY,100.21194890652455,21702,ILE-DE-FRANCE
95,PARIS,PARIS-3E-ARRONDISSEMENT,100.0167883151444,36020,ILE-DE-FRANCE
96,ESSONNE,JUVISY-SUR-ORGE,99.86925565719315,16942,ILE-DE-FRANCE
97,SEINE-SAINT-DENIS,NEUILLY-SUR-MARNE,99.747656219873519,35181,ILE-DE-FRANCE
98,HAUTS-DE-SEINE,SAINT-CLOUD,99.623201240671392,29578,ILE-DE-FRANCE
99,HAUTS-DE-SEINE,NANTERRE,99.21783012733394,90008,ILE-DE-FRANCE
100,PAS-DE-CALAIS,BOULOGNE-SUR-MER,98.815336133675132,38983,NORD
101,HAUTS-DE-SEINE,CLAMART,98.354651494019464,52839,ILE-DE-FRANCE
102,HAUTS-DE-SEINE,CHATENAY-MALABRY,98.298565126314,31422,ILE-DE-FRANCE
103,VAL-DE-MARNE,SAINT-MAUR-DES-FOSSES,98.216934546746188,76378,ILE-DE-FRANCE
104,SEINE-SAINT-DENIS,NOISY-LE-SEC,98.072547685975934,43469,ILE-DE-FRANCE
105,VAL-DE-MARNE,L'HAY-LES-ROSES,97.821107456750212,31960,ILE-DE-FRANCE
106,RHONE,LYON--9E--ARRONDISSEMENT,97.726903022044127,48152,EST
107,SEINE-MARITIME,ROUEN,97.589640459454017,90473,NORD
108,BOUCHES-DU-RHONE,MARSEILLE--8E--ARRONDISSEMENT,97.457899668405744,76175,SUD
109,YVELINES,LE CHESNAY,97.456349512243008,32205,ILE-DE-FRANCE
110,VAL-DE-MARNE,SAINT-MAURICE,97.407120156337143,13490,ILE-DE-FRANCE
111,VAL-DE-MARNE,CHEVILLY-LARUE,97.261055485366967,18283,ILE-DE-FRANCE
112,HAUTS-DE-SEINE,SCEAUX,95.436556976881931,18272,ILE-DE-FRANCE
113,VAL-DE-MARNE,VITRY-SUR-SEINE,95.117464753550522,91224,ILE-DE-FRANCE
114,RHONE,SAINT-FONS,94.760089389376063,18275,EST
115,PARIS,PARIS-16E-ARRONDISSEMENT,94.535809868577218,156120,ILE-DE-FRANCE
116,ALLIER,VICHY,94.4364617482407,24039,EST
117,HAUTS-DE-SEINE,VILLENEUVE-LA-GARENNE,94.20804679742038,24183,ILE-DE-FRANCE
118,HAUTS-DE-SEINE,ANTONY,93.776338169257457,62558,ILE-DE-FRANCE
119,SEINE-SAINT-DENIS,LA COURNEUVE,93.316037270654974,43149,ILE-DE-FRANCE
120,VAL-DE-MARNE,THIAIS,93.132756409932725,29208,ILE-DE-FRANCE
121,ALPES-MARITIMES,LE CANNET,92.307896799087857,44012,SUD
122,SEINE-SAINT-DENIS,L'ILE-SAINT-DENIS,92.157815761144718,7511,ILE-DE-FRANCE
123,RHONE,OULLINS,91.268091175123189,26134,EST
124,SEINE-ET-MARNE,LOGNES,91.095593444575073,14445,ILE-DE-FRANCE
125,YVELINES,HOUILLES,90.904765457072969,32922,ILE-DE-FRANCE
126,VAL-D'OISE,FRANCONVILLE,90.79618768148508,36311,ILE-DE-FRANCE
127,LOIRE-ATLANTIQUE,NANTES,90.1534850110842,267210,OUEST
128,YVELINES,MANTES-LA-JOLIE,90.042156239228746,44141,ILE-DE-FRANCE
129,SEINE-SAINT-DENIS,LE RAINCY,89.955605019780833,14970,ILE-DE-FRANCE
130,BAS-RHIN,STRASBOURG,89.631877457303247,243792,EST
131,SEINE-SAINT-DENIS,VILLEMOMBLE,89.614447052364014,31791,ILE-DE-FRANCE
132,SEINE-SAINT-DENIS,LIVRY-GARGAN,89.2218730925606,44350,ILE-DE-FRANCE
133,SEINE-SAINT-DENIS,STAINS,89.090130466333193,36709,ILE-DE-FRANCE
134,VAL-D'OISE,ERMONT,88.965326012847726,29174,ILE-DE-FRANCE
135,VAL-DE-MARNE,CHAMPIGNY-SUR-MARNE,88.938859899354,80163,ILE-DE-FRANCE
136,SEINE-SAINT-DENIS,PIERREFITTE-SUR-SEINE,88.79485391178406,31150,ILE-DE-FRANCE
137,INDRE-ET-LOIRE,TOURS,88.610779373125666,121593,OUEST
138,NORD,ROUBAIX,87.22764968846343,89743,NORD
139,SEINE-SAINT-DENIS,DUGNY,86.823677616716552,11675,ILE-DE-FRANCE
140,ILLE-ET-VILAINE,RENNES,86.726034803021179,174817,OUEST
141,SEINE-MARITIME,LE HAVRE,86.182330329620456,165149,NORD
142,YVELINES,SARTROUVILLE,85.8872850182179,54202,ILE-DE-FRANCE
143,HAUTS-DE-SEINE,GARCHES,85.813880738528567,19228,ILE-DE-FRANCE
144,PUY-DE-DOME,CHAMALIERES,85.311982306755837,17136,EST
145,VAL-D'OISE,DEUIL-LA-BARRE,85.1534850659564,24735,ILE-DE-FRANCE
146,MARNE,REIMS,85.10824008239797,162314,EST
147,AIN,SAINT-LAURENT-SUR-SAONE,84.854013323858211,1587,EST
148,NORD,TOURCOING,84.295005038230812,95552,NORD
149,HAUT-RHIN,MULHOUSE,83.775757953422541,100934,EST
150,VAL-D'OISE,GARGES-LES-GONESSE,83.5248850566408,44039,ILE-DE-FRANCE
151,COTE-D'OR,DIJON,82.971209229013652,129612,EST
152,ISERE,FONTAINE,82.833298191984156,22071,EST
153,VAL-DE-MARNE,VILLIERS-SUR-MARNE,82.76572474815616,29535,ILE-DE-FRANCE
